reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Panama,Israel,8072,7189,15251,9792,32437,14181,20471,33477,34330,42928,44224,43711,47518,23035,1839,1366,17407,106911,34649
Panama,Côte d'Ivoire,624,35,2080,1508,9,382,34,0,91,12,58,131,52,26,142,184,118,165,2530
Panama,Jamaica,42333,52072,46125,48160,46909,42308,42132,38076,39553,37329,33078,46162,61104,91965,66463,74941,72319,78963,104791
Panama,Kazakhstan,10,257,961,1619,2530,1233,689,792,323,485,407,158,9,44,174,11,11,4,0
Panama,Jordan,58,10,124,43,9,222,64,10,20,18,9,7,62,227,444,598,177,98,69
Panama,Kenya,0,605,691,121,4310,197,22,8,119,294,189,169,9754,0,10,51,14,92,283
Panama,Kyrgyzstan,27,17,0,19,0,154,59,298,140,174,0,2,124,4,0,0,0,0,74
Panama,Lebanon,0,4,10,85,5,25,127,48,22,4,28,121,57,41,44,321,165,69,50
Panama,"Macao, China",2,5,22,37,10,5,11,7,84,32,28,0,52,57,61,44,123,30,433
Panama,Malawi,12,68,0,0,0,3,9,47,297,0,0,0,3,38,78,37,91,27,5
Panama,Maldives,0,0,0,0,1,0,0,0,0,0,2,15,220,0,0,0,1338,0,42
Panama,Mauritius,141,559,358,909,2456,4,1535,75,1957,412,521,42,241,96,2575,538,1,2356,5
Panama,Mexico,43910,78839,60593,114181,116128,94870,32352,120808,83066,17391,19023,120986,50621,110263,105801,31069,32818,27578,27545
Panama,"Moldova, Republic of",0,20,60,66,380,334,539,540,1150,698,26,41,32,19,95,20,22,9,35
Panama,Morocco,6911,2847,13,39,1218,25,222,2446,849,911,581,2157,361,1618,980,409,534,57,3610
Panama,Mozambique,263,2502,9,566,51,253,155,386,863,1549,8086,22335,62445,51022,4453,332,110,205,594
Panama,Oman,0,0,0,0,1,0,4,0,6,23721,0,0,6,7,0,0,7,12,2
Panama,Namibia,40,325,1041,1311,893,2309,1829,6,65,3432,43093,1281,11345,7618,4025,13485,303,65,398
Panama,Nicaragua,13558,12361,21246,14121,15277,11927,12609,17678,11865,9756,11217,27140,27109,61651,18701,41533,53391,62686,58703
Panama,Niger,0,0,0,3,0,0,0,0,835,44,3,0,49,54,11,16,20,6,5
Panama,Pakistan,218,233,51,68,13938,55,119,226,149,7810,8,2859,285,1039,105,165,32828,191,314
Panama,Panama Metadata,0,0,0,0,0,0,96044,105185,109077,120840,98364,86607,102955,108465,88793,108418,106400,118717,140429
Panama,Philippines,1641,2718,44073,5795,23179,4807,1032,4538,13676,1955,1814,2339,34629,1937,1750,2430,1004,484,83425
Panama,Rwanda,0,0,0,31,0,1,0,262,28,4,50,30,0,25,281,9,79,1228,545
Panama,Saint Vincent and the Grenadines,1477,230,168,433,497,725,621,553,826,1026,1429,965,1359,1153,1554,2151,2018,2126,1743
Panama,Sao Tome and Principe,0,0,0,0,0,0,10,0,0,0,2,0,0,0,20,0,0,0,0
Panama,Saudi Arabia,9595,2912,80082,36164,73552,18328,1637,511,10207,39344,5447,883,51,17413,98042,72658,66382,68961,4226
Panama,Senegal,0,0,47,52,0,29,188,225,134,295,139,152,674,1511,73,162,1604,395,62
Panama,India,92741,165090,219915,138167,224792,390381,283868,213786,114068,36842,83156,75044,53218,135824,39912,77420,29088,213379,296185
Panama,Viet Nam,22636,171,54334,148421,66036,12969,11976,19374,6831,21860,17496,23380,12693,30011,28715,4038,10498,6703,8393
Panama,Zimbabwe,104,0,13,265,914,672,75,213,1363,1527,1912,3868,1794,0,62,237,110,127,0
Panama,Trinidad and Tobago,4055,6657,11268,8701,9254,8278,7513,31274,124115,16400,19405,25193,23257,20345,23768,19932,20936,16487,21417
Panama,Tunisia,203,410,966,166,205,32,68,1752,9,55,26,344,1371,16,0,0,108,4,2459
Panama,Uganda,0,8,1,255,57,168,492,438,27,152,78,173,13,11,3,5,4,6,153
Panama,"Macedonia, North",198,565,459,509,149,322,248,236,46,2,5,19,7,5,78,73,71,2,26
Panama,Egypt,49,156,0,1,2,455,339,23543,2388,1279,464,265,70,2248,6980,1440,1210,5350,66
Panama,"Tanzania, United Republic of",194,180,26,42,3770,184,574,3639,4241,2187,969,1465,4501,4547,1803,19,25,58,2393
Panama,Burkina Faso,0,0,79,0,0,0,0,2,306,0,0,11,16,9,23,94,425,120,34
Panama,Uruguay,1573,798,1238,2231,4407,5479,5512,3111,2880,2240,1728,26329,24866,22897,29148,34082,24456,18120,12481
Panama,Samoa,0,0,1,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
Panama,Zambia,0,0,12,0,21,76,0,19,1066,55,41130,14805,11505,31689,15710,6417,2150,123,862
Panama,Belarus,257,74,511,341,954,511,207,277,302,2253,0,2613,2601,4037,2286,3244,1681,5427,
Panama,Cameroon,0,0,0,992,3690,1185,0,1757,98,0,0,61,12,3440,2,31,0,6,
Panama,Gabon,1,0,0,0,0,28,643,0,13168,424617,421534,258693,136178,3773,1358,436014,42,1,
Panama,Honduras,98711,133853,222967,144784,347045,158545,89591,42412,30556,30292,24834,26321,26237,41196,26678,27013,14629,43673,
Panama,Russian Federation,2409,3629,21592,11167,9067,6100,2554,11270,4207,959933,6643,1625,1898,6389,1970,2162,3334,3356,
Panama,Eswatini,0,0,0,0,0,0,0,2,0,0,0,3,4,26,4,14,5,2,
Panama,Ghana,1130,1327,336,761,1727,82286,5065,1155,1479,1708,86317,2941,2154,6023,2827,2862,,,
